family,stage,market,psr_scope,rows,unique_timestamps,duplicates,missing_values,min_timestamp_utc,max_timestamp_utc,coverage_rows_complete
week_ahead_total_load_forecast,hourly,BE,TOTAL,35064,35064,0,0,2021-12-31T23:00:00+00:00,2025-12-31T22:00:00+00:00,35064
week_ahead_total_load_forecast,hourly,DE,TOTAL,35064,35064,0,0,2021-12-31T23:00:00+00:00,2025-12-31T22:00:00+00:00,35064
week_ahead_total_load_forecast,hourly,NL,TOTAL,35064,35064,0,0,2021-12-31T23:00:00+00:00,2025-12-31T22:00:00+00:00,35064
